"Name","House","Gender","Culture","Title","Age","Is Noble?","Dead Relatives?","Is Dead?"
"Donnel Drumm","House Drumm","male","ironborn","",NA,"no","no",0
"Donel Greyjoy","House Greyjoy","male","ironborn","",NA,"no","no",0
"Donella Hornwood","House Manderly","female","northmen","hornwood",50,"yes","no",1
"Donnel Hill","Night's Watch","male","","",NA,"no","no",0
"Donnis","House Stark","female","northmen","",NA,"no","no",0
"Donyse","","female","","septa",NA,"no","no",0
"Dorcas","House Lannister","female","","",NA,"no","no",0
"Dornish Dilly","Night's Watch","female","","",NA,"no","no",1
"Dorren Stark","","male","northmen","",NA,"no","no",0
"Draqaz","","female","ghiscari","cupbearer",NA,"yes","no",0
"Drennan","House Greyjoy","male","ironborn","",NA,"no","no",1
"Dudley","","male","","ser",NA,"yes","no",0
"Dryn","","male","free folk","",NA,"no","no",0
"Dunaver","House Lannister","female","","ser",NA,"yes","no",0
"Durran","","male","first men","",NA,"no","no",0
"Dyah","","female","free folk","",NA,"no","no",0
"Dykk Harlaw","House Harlaw","male","","",NA,"no","no",1
"Easy","Night's Watch","male","","",NA,"no","no",1
"Duncan Targaryen","House Targaryen","male","","prince of dragonstone",39,"yes","yes",1
"Edgerran Oakheart","House Oakheart","male","","lord",NA,"yes","no",0
"Eden Risley","House Risley","male","","ser",NA,"yes","no",0
"Edmund Ambrose","House Ambrose","female","","ser",NA,"yes","no",0
"Edwyn Osgrey","House Osgrey","male","","ser",NA,"yes","no",1
"Eggon","House Clegane","male","","",NA,"no","no",0
"Eglantine","Faith of the Seven","female","","septa",NA,"no","no",0
"Egon Emeros","Pureborn","female","qartheen","",NA,"no","no",0
"Eldiss","","male","ironborn","",NA,"no","no",0
"Eldred Codd","House Codd","male","ironborn","",NA,"no","no",0
"Elaena Targaryen","House Targaryen","female","valyrian","princess",70,"yes","yes",1
"Elys Westerling","House Westerling","female","","ser",NA,"yes","no",0
"Elyas Willum","House Willum","male","","",NA,"no","no",0
"Elza","House of Galare","female","meereenese","",NA,"no","no",1
"Emma","","female","","",45,"no","no",0
"Elys Waynwood","House Waynwood","female","","ser",NA,"yes","no",0
"Emrick","Night's Watch","male","","",NA,"no","no",0
"Endehar","","female","","",NA,"no","no",0
"Emphyria Vance","House Vance of Wayfarer's Rest","female","","",NA,"no","no",0
"Enger","House Tully","female","","",NA,"no","no",0
"Erik Ironmaker","House Ironmaker","male","ironborn","lord steward of the iron islands",94,"yes","no",0
"Erreck","","male","","maester",NA,"yes","no",0
"Erreg","","female","andal","king",NA,"yes","no",0
"Errok","","male","free folk","",NA,"no","no",0
"Erryk (guard)","House Tyrell","female","","",NA,"no","no",0
"Esgred","","male","","",NA,"no","no",0
"Eustace (Braavos)","Faith of the Seven","female","","septon",NA,"no","no",0
"Eustace (Dance of the Dragons)","Faith of the Seven","male","","septon",NA,"no","no",0
"Ezzara","","female","ghiscari","blue grace",NA,"yes","no",0
"Ezzelyno","R'hllor","female","braavosi","red priest",NA,"yes","no",0
"Fern","","female","","",NA,"no","no",0
"Ferny","","female","free folk","",NA,"no","no",0
"Ferret","","female","","",NA,"no","no",0
"Fogo","","male","dothraki","khalakka",NA,"yes","no",1
"Fornio","Night's Watch","male","","",NA,"no","no",0
"Fralegg","","male","ironborn","",NA,"no","no",0
"Frenya","","male","free folk","",NA,"no","no",1
"Frynne","","female","","",NA,"no","no",0
"Gage","House Stark","female","","",NA,"no","no",0
"Galladon of Morne","","male","","ser",NA,"yes","no",0
"Gallard","","female","","archmaester",NA,"yes","no",0
"Galt","Stone Crows","female","vale mountain clans","",NA,"no","no",0
"Galtry the Green","","male","","ser",NA,"yes","no",0
"Galyeon of Cuy","","male","","",NA,"no","no",0
"Gareth the Grey","","male","","ser",NA,"yes","no",0
"Garigus","Alchemists' Guild","male","","wisdom",NA,"yes","no",0
"Garizon","","female","","archmaester",NA,"yes","no",0
"Gariss","House Stark","male","","",NA,"no","no",0
"Garrett Paege","House Paege","male","","",NA,"no","no",0
"Garth XII Gardener","","female","","",NA,"no","no",0
"Garth of Oldtown","Night's Watch","female","","",NA,"no","no",1
"Gascoyne","House Martell","female","","ser",NA,"yes","no",0
"Gavin","","female","free folk","",NA,"no","no",0
"Gelmarr","House Greyjoy","male","","",NA,"no","no",1
"Gerren","","female","","",NA,"no","no",0
"Gerold Lannister","House Lannister","male","westerman","casterly rock",NA,"yes","no",1
"Ghael","","male","astapori","lord",NA,"yes","no",0
"Gillam","","male","","brother",NA,"yes","no",0
"Gladden Wylde","House Wylde","male","","ser",NA,"yes","no",1
"Glendon Flowers","","male","","ser",100,"yes","no",1
"Goady","Night's Watch","female","","",NA,"no","no",0
"Godwyn","House Lannister","male","","",NA,"no","no",0
"Gormond Drumm","House Drumm","male","ironborn","",NA,"no","no",0
"Gowen Baratheon","House Baratheon","male","","",NA,"no","no",0
"Grance Morrigen","House Morrigen","male","","ser",NA,"yes","no",0
"Grazdan","","male","astapori","good master",NA,"yes","no",1
"Grazdan zo Galare","House of Galare","male","meereenese","",NA,"no","no",0
"Green Gergen","","male","","",NA,"no","no",0
"Great Walrus","","male","free folk","",NA,"no","no",0
"Gretchel","House Arryn","male","","",NA,"no","no",0
"Grey King","","male","ironborn","",NA,"no","no",0
"Griffin King","","male","first men","",NA,"no","no",0
"Grigg","","female","free folk","",NA,"no","no",0
"Grisel","House Baelish","female","","",NA,"no","no",0
"Grisella","","female","free folk","",NA,"no","no",0
"Gulian","","female","","maester",NA,"yes","no",0
"Gulian Qorgyle","House Qorgyle","male","","ser",NA,"yes","no",0
"Gurn","Stone Crows","female","vale mountain clans","",NA,"no","no",0
"Guyne","","female","","archmaester",NA,"yes","no",0
"Gwayne Corbray","House Corbray","male","","ser",NA,"yes","no",0
"Gwayne Gaunt","House Gaunt","female","","ser",NA,"yes","no",0
"Gwin Goodbrother","House Goodbrother","female","ironborn","",NA,"no","no",0
"Gyles","Kingsguard","female","","ser",NA,"yes","no",0
"Gyleno Dothare","","male","braavosi","",NA,"no","no",0
"Gyles Farwynd","House Farwynd of the Lonely Light","male","ironborn","",NA,"no","no",0
"Gwynesse Harlaw","House Harlaw","female","ironborn","",NA,"no","no",0
"Gyles Grafton","House Grafton","male","","",NA,"no","no",0
"Gyloro Dothare","","male","braavosi","",NA,"no","no",0
"Gyles III Gardener","","male","","",NA,"no","no",0
"Gynir","House Greyjoy","male","","",NA,"no","no",1
"Haggon","","male","free folk","",NA,"no","no",0
"Gysella Goodbrother","House Goodbrother","female","ironborn","",NA,"no","no",0
"Hali","","female","free folk","",NA,"no","no",1
"Haldon","House Targaryen","male","","",NA,"no","no",0
"Harbert Paege","House Paege","female","","ser",NA,"yes","no",0
"Hamish the Harper","","female","","",NA,"no","no",1
"Halys Hornwood","House Hornwood","male","northmen","hornwood",NA,"yes","no",1
"Harghaz","","male","ghiscari","",NA,"no","no",1
"Hareth (Mole's Town)","Night's Watch","male","","",NA,"no","no",0
"Harlan Grandison","House Grandison","male","","ser",NA,"yes","no",1
"Harle the Handsome","","male","free folk","",NA,"no","no",0
"Harle the Huntsman","","male","free folk","",NA,"no","no",0
"Harlon Botley","House Botley","male","ironborn","",NA,"no","no",0
"Harmund Sharp","House Sharp","male","ironborn","",NA,"no","no",0
"Harlon Greyjoy","House Greyjoy","male","ironborn","",NA,"no","no",0
"Harodon","","female","","archmaester",NA,"yes","no",0
"Harra","House Whent","female","","",NA,"no","no",1
"Harrag Sharp","House Sharp","female","ironborn","",NA,"no","no",1
"Harrag Hoare","","male","ironborn","",NA,"no","no",0
"Harren Half-Hoare","","male","ironborn","",NA,"no","no",0
"Harren Botley","House Botley","female","ironborn","",NA,"no","no",1
"Harrold Osgrey","House Osgrey","male","","ser",NA,"yes","no",0
"Harry Sawyer","House Sawyer","female","","ser",NA,"yes","no",0
"Harsley","","male","","",NA,"no","no",1
"Harwyn Hoare","","male","","",NA,"no","no",0
"Hayhead","House Stark","male","northmen","",NA,"no","no",0
"Hazrak zo Loraq","House of Loraq","male","ghiscari","",NA,"no","no",0
"Harwyn Plumm","House Plumm","male","","ser",NA,"yes","no",0
"Helicent Uffering","House Uffering","female","","",100,"no","no",1
"Helliweg","","female","","maester",NA,"yes","no",0
"Helly","","female","","",NA,"no","no",0
"Helya","House Greyjoy","female","","",NA,"no","no",0
"Henk","","male","free folk","",NA,"no","no",0
"Henly (House Ashford)","House Ashford","female","","",NA,"no","no",0
"Herbert Bolling","House Bolling","female","","ser",NA,"yes","no",0
"Hendry Bracken","House Bracken","female","","",NA,"no","no",1
"Heward","House Stark","female","northmen","",NA,"no","no",1
"Hibald","","male","","",NA,"no","no",0
"Hilmar Drumm","House Drumm","male","ironborn","",NA,"no","no",0
"Hod","","male","","",NA,"no","no",0
"Hoke","House Lannister","female","","",NA,"no","no",0
"Holger","Stone Crows","female","vale mountain clans","",NA,"no","no",0
"Hop-Robin","Night's Watch","male","","",NA,"no","no",0
"Hugh Beesbury","House Beesbury","female","","ser",NA,"yes","no",0
"Humfrey Clifton","House Clifton","male","","ser",NA,"yes","no",0
"Hunnimore","","female","","maester",NA,"yes","no",0
"Husband","","male","","",NA,"no","no",0
"Illifer","","male","","ser",65,"yes","no",0
"Ironbelly","","male","","",NA,"no","no",0
"Jaehaerys Targaryen (son of Aegon II)","House Targaryen","male","","prince",6,"yes","no",1
"Jaehaera Targaryen","House Targaryen","female","valyrian","princessqueen",10,"yes","no",1
"Jaggot","Stone Crows","female","vale mountain clans","",NA,"no","no",0
"Jaehaerys II Targaryen","","male","","",NA,"no","no",1
"Jaime Frey","House Frey","male","","",6,"no","no",0
"Jaehaerys I Targaryen","","male","","",NA,"no","yes",1
"Jate","","female","","",NA,"no","no",1
"Jate Blackberry","House Blackberry","male","","",NA,"no","no",0
"Jasper Waynwood","House Waynwood","male","","",NA,"no","no",0
"Jayde","Chataya's brothel","female","","",NA,"no","no",0
"Jeffory Norcross","House Norcross","male","","ser",NA,"yes","no",0
"Jeffory Mallister","House Mallister","male","","",NA,"no","no",0
"Jayne Bracken","House Bracken","female","","",NA,"no","no",0
"Squinty Jeyne","House Osgrey","female","","",NA,"no","no",0
"Jeyne Fossoway","House Fossoway of New Barrel","female","","",NA,"no","no",0
"Jeyne Heddle","Brotherhood Without Banners","female","","",24,"no","no",0
"Jeyne Swann","House Swann","female","","",NA,"no","no",0
"Jeyne Westerling (wife of Maegor I)","House Westerling","female","","queenblack bride",20,"yes","no",1
"Jeyne Waters","","male","westeros","",100,"no","no",1
"Jeyne Westerling","House Westerling","female","westermen","winterfell",22,"yes","no",0
"Jocelyn Swyft","House Swyft","female","","",NA,"no","no",0
"Jodge","House Lannister","male","","",NA,"no","no",0
"Joanna Swyft","House Swyft","female","","",NA,"no","no",0
"Joanna Lannister","House Lannister","female","westerman","casterly rock",28,"yes","yes",1
"Johanna Swann","House Swann","female","","",NA,"no","no",0
"Jommo","","male","dothraki","khal",NA,"no","no",0
"Jommy","House Baratheon","male","","",NA,"no","no",0
"Jon Cupps","House Cupps","male","","ser",NA,"yes","no",0
"Jon Heddle","House Heddle","male","","ser",NA,"yes","no",0
"Jon Hollard","House Hollard","male","","ser",NA,"yes","no",0
"Jon Penny","House Penny","female","","",NA,"no","no",0
"Jon Penrose","House Penrose","male","","ser",NA,"yes","no",0
"Jon Pox","","male","","",NA,"no","no",0
"Jon Vance","","male","","maester",NA,"yes","no",0
"Jon Umber (Smalljon)","House Umber","male","northmen","",NA,"no","no",1
"Jon Umber (Greatjon)","House Umber","male","northmen","last hearth",NA,"yes","no",0
"Jon Waters","","male","","ser",100,"yes","no",1
"Jorquen","Night's Watch","male","","septon",NA,"no","no",0
"Jorgen","House Webber","male","","",NA,"no","no",0
"Joseran","","female","","maester",NA,"yes","no",0
"Joseth","House Stark","male","","",NA,"no","no",0
"Joseth Mallister","House Mallister","female","","ser",NA,"yes","no",0
"Joss","","male","","",NA,"no","no",0
"Joss the Gloom","","female","braavosi","",NA,"no","no",0
"Joth Quickbow","","female","","",NA,"no","no",0
"Josua Willum","House Willum","male","","",NA,"no","no",0
"Jurne","","female","","maester",NA,"yes","no",0
"Jothos Slynt","House Slynt","male","","",NA,"no","no",0
"Jyck","House Lannister","male","","",NA,"no","no",1
"Jyzene","","female","","",NA,"no","no",0
"Kegs","Night's Watch","male","","",NA,"no","no",0
"Kella","House Baelish","female","","",NA,"no","no",0
"Kemmett Pyke","","female","ironborn","",NA,"no","no",0
"Kenned","","female","ironborn","",NA,"no","no",1
"Ketter","Night's Watch","female","","",NA,"no","no",0
"Kirby Pimm","","male","","ser",NA,"yes","no",0
"Kojja Mo","","female","summer isles","",NA,"no","no",0
"Kirth Vance","House Vance of Atranta","male","","",NA,"no","no",0
"Koss","","male","","",NA,"no","no",1
"Kromm","House Greyjoy","female","ironborn","",NA,"no","no",1
"Kurz","","male","","",NA,"no","no",1
"Kyle","","male","","ser",NA,"yes","no",0
"Kyle (brotherhood)","Brotherhood without banners","female","","",NA,"no","no",1
"Kyle Royce","House Royce","male","","",NA,"no","no",0
"Kyleg","","female","free folk","",NA,"no","no",0
"Kym","","female","","maester",NA,"yes","no",0
"Lamprey","House Baratheon of Dragonstone","male","","",NA,"no","no",0
"Lancel V Lannister","","female","","",NA,"no","no",0
"Lanna","","female","","",20,"no","no",0
"Lanna (Happy Port)","Happy Port","female","braavosi","",19,"no","no",0
"Larraq","","male","ghiscari","",NA,"no","no",0
"Layna","","female","","",26,"no","no",0
"Lem","Brotherhood without banners","male","","",NA,"no","no",0
"Leana Frey","House Frey","female","","",6,"no","no",0
"Lennocks","","male","","",NA,"no","no",0
"Lem (Standfast)","House Osgrey","female","","",100,"no","no",1
"Lenn","","female","free folk","",NA,"no","no",0
"Lenyl","","male","free folk","",NA,"no","no",0
"Lenwood Tawney","House Tawney","male","ironborn","",NA,"no","no",0
"Leo Tyrell (Longthorn)","House Tyrell","male","reach","lord paramount of the mander",NA,"yes","no",0
"Leona Tyrell","House Tyrell","female","","",NA,"no","no",0
"Leo Tyrell (son of Victor)","House Tyrell","male","","ser",NA,"yes","no",0
"Lester","House Lannister","female","","",NA,"no","no",0
"Lew (guard)","House Stark","female","northmen","",NA,"no","no",0
"Lewis Lanster","Windblown","male","","",NA,"no","no",0
"Lewys Piper","House Piper","male","rivermen","",NA,"no","no",0
"Leyla Hightower","House Hightower","female","","",NA,"no","no",0
"Lia Serry","House Serry","female","","",NA,"no","no",0
"Liane Vance","House Vance of Wayfarer's Rest","female","","",NA,"no","no",0
"Lister","","male","","",NA,"no","no",0
"Long Lew","House Tully","male","","",NA,"no","no",0
"Lorcas","","male","","",64,"no","no",0
"Lorent Lorch","House Lorch","female","","ser",NA,"yes","no",0
"Lorimer","House Lefford","male","","ser",NA,"yes","no",1
"Lorren","","male","","",NA,"no","no",1
"Lothar","","male","","maester",NA,"yes","no",0
"Lorent Tyrell","House Tyrell","female","","",NA,"no","no",0
"Lotho Lornel","","female","braavosi","",NA,"no","no",0
"Lucan","House Whent","male","","",NA,"no","no",1
"Lucamore Strong","House Strong","male","","ser",NA,"yes","no",0
"Lucantine Woodwright","","female","","ser",NA,"yes","no",0
"Lucas Nayland","House Nayland","female","","ser",NA,"yes","no",0
"Lucas Roote","House Roote","male","","",NA,"no","no",1
"Lucifer Hardy","House Hardy","male","","lord",NA,"yes","no",0
"Luco Prestayn","","female","braavosi","",NA,"no","no",0
"Lucimore Botley","House Botley","female","ironborn","",NA,"no","no",0
"Lucos","","male","","septon",NA,"no","no",0
"Luke of Longtown","Night's Watch","female","","",NA,"no","no",0
"Lucas Tyrell","House Tyrell","male","","",NA,"no","no",0
"Lum","House Lannister","male","westermen","",NA,"no","no",0
"Luton","House Bolton","male","northmen","",NA,"no","no",1
"Luthor Tyrell (son of Moryn)","House Tyrell","female","","ser",NA,"yes","no",0
"Luthor Tyrell (son of Theodore)","House Tyrell","male","","",NA,"no","no",0
"Lymond Mallister","House Mallister","female","","seagard",NA,"yes","no",0
"Lync","Night's Watch","female","","",NA,"no","no",0
"Lyonel (knight)","House Lannister","male","","ser",NA,"yes","no",0
"Lyonel Bentley","Queensguard","female","","ser",NA,"yes","no",1
"Lyonel Tyrell (lord)","House Tyrell","male","reach","lord paramount of the mander",NA,"yes","no",1
"Lysa Meadows","House Meadows","female","","",NA,"no","no",0
"Lyonel Tyrell (son of Leo)","House Tyrell","female","","",NA,"no","no",0
"Maddy","House Arryn","female","","",NA,"no","no",0
"Maerie (Goodwife)","","female","","goodwife",NA,"yes","no",0
"Maerie (Whore)","","female","","",NA,"no","no",1
"Maggy","","male","","",NA,"no","no",0
"Malcolm","","female","","ser",NA,"yes","no",0
"Malleon","","male","","grand maester",NA,"yes","no",0
"Malliard","Alchemists' Guild","male","","wisdom",NA,"yes","no",0
"Mallor (Knight)","","male","","ser",NA,"yes","no",0
"Mallor","House Lannister","female","","",NA,"no","no",0
"Manfred Dondarrion","House Dondarrion","male","","ser",NA,"yes","no",0
"Manfred Lothston","House Lothston","male","","",NA,"no","no",0
"Manfred Swann","House Swann","female","","ser",NA,"yes","no",0
"Manfryd Lothston","House Lothston","male","","",NA,"no","no",0
"Manfryd Yew","House Yew","female","","ser",NA,"yes","no",0
"Marei","Chataya's brothel","male","","",25,"no","no",0
"Marghaz zo Loraq","House of Loraq","male","ghiscari","",NA,"no","no",0
"Maris","","female","free folk","",NA,"no","no",0
"Marq Grafton","House Grafton","male","","",NA,"no","no",1
"Martyn Mullendore","House Mullendore","female","","uplands",NA,"yes","no",0
"Maslyn","Night's Watch","female","","",NA,"no","no",1
"Mathos Mallarawan","","female","qartheen","",NA,"no","no",0
"Matrice","House Baratheon of Dragonstone","female","","",NA,"no","no",0
"Matt","","male","","",NA,"no","no",0
"Maynard","","male","","ser",NA,"yes","no",0
"Maynard Plumm","House Plumm","male","","ser",NA,"yes","no",0
"Mazdhan zo Loraq","House of Loraq","male","ghiscaricari","",NA,"no","no",0
"Mebble","","male","","",NA,"no","no",0
"Meha","","female","free folk","",NA,"no","no",0
"Mela","House Arryn","female","","",NA,"no","no",0
"Meizo Mahr","","female","","",NA,"no","no",0
"Melaquin","","female","","maester",NA,"yes","no",0
"Medwick Tyrell","","male","","maester",NA,"yes","no",0
"Meliana","","female","","",NA,"no","no",0
"Melicent","","female","","septa",NA,"no","no",0
"Mellei","House Martell","female","","",NA,"no","no",0
"Melly","Brotherhood Without Banners","female","","",NA,"no","no",0
"Mellos","","male","","grand maester",NA,"yes","no",0
"Meralyn","Happy Port","female","braavosi","",NA,"no","no",0
"Merling Queen","","female","braavosi","",NA,"no","no",0
"Mero","Second Sons","male","braavosi","",NA,"no","no",1
"Merrell Florent","House Florent","male","","",NA,"no","no",0
"Michael Mertyns","House Mertyns","male","","ser",NA,"yes","no",0
"Miklaz","","female","ghiscari","cupbearer",NA,"yes","no",0
"Mollander","","male","","",NA,"no","no",0
"Mollos","","female","","archmaester",NA,"yes","no",0
"Moonshadow","","female","braavos","",NA,"no","no",0
"Moreo Tumitis","","male","","",37,"no","no",0
"Morgarth","House Baelish","male","","ser",NA,"yes","no",0
"Moro","","male","dothraki","khal",NA,"no","no",0
"Morra","House Martell","female","","",NA,"no","no",0
"Morrec","House Lannister","male","","",NA,"no","no",1
"Mors Manwoody","House Manwoody","male","","",NA,"no","no",0
"Mortimer Boggs","House Boggs","male","","ser",NA,"yes","no",0
"Mors Martell (brother of Doran)","House Martell","male","","",0,"no","no",1
"Mother Mole","","female","free folk","",NA,"no","no",0
"Mudge (brotherhood)","Brotherhood without banners","female","","",NA,"no","no",0
"Mudge (miller)","","male","","",NA,"no","no",0
"Mudge (swineherd)","House Osgrey","male","","",NA,"no","no",0
"Munciter","Alchemists' Guild","male","","wisdom",NA,"yes","no",0
"Mully","Night's Watch","male","","",NA,"no","no",0
"Murch","","male","","",NA,"no","no",0
"Murch (Winterfell)","House Stark","male","northmen","",NA,"no","no",0
"Myles (squire)","House Tully","male","","",NA,"no","no",1
"Myrtle","","female","free folk","",NA,"no","no",1
"Nage","House Bolton","male","","",NA,"no","no",0
"Nail","Second Sons","female","","",NA,"no","no",0
"Narbert","","female","","brotherproctor",NA,"yes","no",0
"Narbo","","female","braavosi","",NA,"no","no",0
"Nan","House Stark","female","","",NA,"no","no",0
"Ned (ferryman)","","male","","",NA,"no","no",0
"Nella","","female","free folk","",NA,"no","no",0
"Ned Woods","House Woods","male","northmen","",NA,"no","no",0
"Nissa Nissa","","male","","",NA,"no","no",0
"Nightingale","","female","","",NA,"no","no",0
"Nolla","","female","","goodwife",NA,"yes","no",0
"Norjen","Drowned men","female","ironmen","",NA,"no","no",0
"Norren","","male","","archmaester",NA,"yes","no",0
"Nymos","","female","","archmaester",NA,"yes","no",0
"Normund Tyrell","","female","","maester",NA,"yes","no",0
"Ocley","","female","","archmaester",NA,"yes","no",0
"Ogo","","male","dothraki","khal",NA,"no","no",1
"Old Crackbones","","male","","",NA,"no","no",0
"Old Grey Gull","Drowned men","male","ironborn","",NA,"no","no",0
"Old Tattersalt","Night's Watch","male","","",NA,"no","no",0
"Old Henly","Night's Watch","male","","",79,"no","no",1
"Olyvar Oakheart","House Oakheart","male","","ser",NA,"yes","no",1
"Olene Tyrell","House Tyrell","female","","",NA,"no","no",0
"Orbelo","","male","braavosi","",NA,"no","no",0
"Orivel","Kingsguard","male","","ser",NA,"yes","no",0
"Orell","","male","free folk","",NA,"no","no",1
"Ormond (knight)","","female","","ser",NA,"yes","no",1
"Ormond Osgrey","House Osgrey","female","","coldmoat",NA,"yes","no",0
"Ormond Westerling","House Westerling","female","","ser",NA,"yes","no",0
"Oro Tendyris","","male","braavosi","",NA,"no","no",0
"Ormund Wylde","House Wylde","male","","ser",NA,"yes","no",0
"Osmynd","Faith of the Seven","female","","septon",NA,"no","no",0
"Ossy","House Royce of the Gates of the Moon","female","","",NA,"no","no",0
"Oswyn","Kingswood Brotherhood","female","","",NA,"no","no",0
"Othor","Night's Watch","male","","",NA,"no","no",1
"Otter Gimpknee","","female","","",NA,"no","no",0
"Ottomore","","male","","",NA,"no","no",0
"Owen (brother of Meribald)","","male","","",NA,"no","no",0
"Owen","Night's Watch","male","","",NA,"no","no",0
"Owen Inchfield","House Inchfield","female","","ser",NA,"yes","no",0
"Palla","House Stark","female","northmen","",NA,"no","yes",0
"Pate (Old)","","male","","",NA,"no","no",0
"Pate (Mory)","","male","","",NA,"no","no",0
"Pate (Lancewood)","","male","","",NA,"no","no",0
"Pate (Pinchbottom)","","female","","",NA,"no","no",1
"Pate (Night's Watch)","Night's Watch","female","","",NA,"no","no",0
"Pate (Shermer's Grove)","","male","","",NA,"no","no",0
"Pate (Standfast)","House Osgrey","male","","",100,"no","no",1
"Penny Jenny","","female","","",NA,"no","no",0
"Penny","Second Sons","female","","",24,"no","no",0
"Perros Blackmont","House Blackmont","male","dornish","",NA,"no","no",0
"Perwyn Osgrey","House Osgrey","female","","coldmoat",NA,"yes","no",0
"Peter Plumm","House Plumm","male","","ser",NA,"yes","no",0
"Plummer","House Ashford","female","","ashford",NA,"yes","no",0
"Poetess","","female","braavosi","",NA,"no","no",0
"Pollitor","Alchemists' Guild","male","","wisdom",NA,"yes","no",0
"Porridge","House Baratheon of Dragonstone","male","","",NA,"no","no",0
"Porther","House Stark","male","northmen","",NA,"no","no",0
"Portifer Woodwright","","female","","ser",NA,"yes","no",0
"Poul Pemford","House Pemford","male","","",NA,"no","no",1
"Poxy Tym","House Stark","male","northmen","",NA,"no","no",1
"Praed","","male","","",NA,"no","no",1
"Puckens","House Lannister","female","","",NA,"no","no",0
"Pudding","","female","","",NA,"no","no",0
"Puddingfoot","Brotherhood without banners","female","","",NA,"no","no",0
"Qalen","House Greyjoy","male","","maester",NA,"yes","no",0
"Qarl the Thrall","","female","ironborn","",NA,"no","no",0
"Qarl Kenning","House Kenning of Harlaw","female","ironborn","",NA,"no","no",0
"Qarl Correy","House Velaryon","male","","ser",NA,"yes","no",0
"Qarl Shepherd","House Shepherd","female","ironborn","",NA,"no","no",0
"Qarl Quickaxe","","male","ironmen","",NA,"no","no",0
"Qos","","male","","wind witch",NA,"yes","no",0
"Quellon Humble","House Humble","male","ironborn","",NA,"no","no",0
"Quaro","","female","dothraki","",NA,"no","no",1
"Aelinor Penrose","House Penrose","female","","ladyqueen",NA,"yes","no",0
"Aemon Estermont","House Estermont","male","stormlands","ser",NA,"yes","no",0
"Aemon Rivers","House Frey","male","","ser",NA,"yes","no",0
"Aglantine","Faith of the Seven","female","","septa",NA,"no","no",0
"Aladale Wynch","House Wynch","male","ironborn","ser",NA,"yes","no",1
"Albett","Night's Watch","male","","",NA,"no","no",0
"Albar Royce","House Royce of the Gates of the Moon","male","","ser",NA,"yes","no",0
"Alesander Staedmon","House Staedmon","female","","broad arch",NA,"yes","no",0
"Alekyne Florent","House Florent","male","","brightwater",NA,"yes","no",0
"Alesander Frey","House Frey","female","","",40,"no","no",0
"Alester Norcross","House Norcross","male","","",15,"no","no",0
"Allard Seaworth","House Seaworth","male","","lady marya",NA,"yes","no",1
"Allar Deem","City Watch of King's Landing","male","","",NA,"no","no",1
"Alla Tyrell","House Tyrell","female","","",19,"no","no",0
"Alyn Cockshaw","House Cockshaw","male","","lord",NA,"yes","no",1
"Alyce Graceford","House Graceford","female","","lady",NA,"yes","no",0
"Alyn Connington","House Connington","female","","ser",NA,"yes","no",0
"Alyn Ambrose","House Ambrose","male","","",NA,"no","no",0
"Alyn Estermont","House Estermont","male","stormlands","ser",NA,"yes","no",0
"Alyn Stackspear","House Stackspear","female","","ser",NA,"yes","no",0
"Alyn Frey","House Frey","male","","",10,"no","no",0
"Alyn Haigh","House Haigh","female","","",49,"no","no",0
"Alysanne Bulwer","House Bulwer","female","","blackcrown",14,"yes","no",0
"Alysanne Lefford","House Lefford","female","","golden tooth",NA,"yes","no",0
"Alys Frey","House Frey","female","","",NA,"no","no",0
"Alyssa Blackwood","House Blackwood","female","","lady",NA,"yes","no",1
"Alyx Frey","House Frey","female","","",23,"no","no",0
"Amarei Crakehall","House Crakehall","female","","",19,"no","no",1
"Ambrose Butterwell","House Butterwell","male","","whitewalls",100,"yes","no",1
"Andar Royce","House Royce","male","valemen","ser",NA,"yes","no",0
"Andros Brax","House Brax","male","","hornvale",NA,"yes","no",1
"Antario Jast","House Jast","male","","lord",NA,"yes","no",0
"Andrew Estermont","House Estermont","male","","ser",NA,"yes","no",0
"Annara Farring","House Farring","female","","lady",NA,"yes","no",0
"Ardrian Celtigar","House Celtigar","male","","claw isle",76,"yes","no",0
"Anya Waynwood","House Waynwood","female","","ironoaks",NA,"yes","no",0
"Androw Frey","House Frey","male","","",10,"no","no",0
"Armond Caswell","House Caswell","male","","bitterbridge",NA,"yes","no",0
"Arthur Ambrose","House Ambrose","male","","lord",NA,"yes","no",0
"Arthor Karstark","House Karstark","male","northmen","",NA,"no","no",0
"Arwyn Frey","House Frey","female","","",20,"no","no",0
"Artos Stark","House Stark","male","northmen","",NA,"no","no",0
"Arwood Frey","House Frey","male","","ser",42,"yes","no",0
"Lord Ashford","House Ashford","male","reach","ashford",NA,"yes","no",0
"Azzak","House of Ghazeen","female","ghiscari","cupbearer",NA,"yes","no",0
"Baelor Hightower","House Hightower","male","","ser",NA,"yes","no",0
"Balman Byrch","House Byrch","male","","ser",NA,"yes","no",1
"Barth","Faith of the Seven","male","","septon",NA,"no","no",1
"Bayard Norcross","House Norcross","female","","ser",NA,"yes","no",0
"Bedwyck","Night's Watch","male","","",NA,"no","no",0
"Barthogan Stark","House Stark","male","northmen","winterfell",NA,"yes","no",0
"Bellena Hawick","House Hawick","female","","",NA,"no","no",0
"Benedar Belmore","House Belmore","male","","strongsong",NA,"yes","no",0
"Benedict Broom","House Broom","female","","ser",NA,"yes","no",0
