loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,policy_code,application_type,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit
12000,12000,12000,36 months,12.99%,404.27,B,Process Tech.,10+ years,MORTGAGE,55000,Verified,0,debt_consolidation,444xx,OH,32.23,0,3-Aug,1,,,8,0,5132,40.70%,14,w,0,0,1,INDIVIDUAL,0,0,0,0,0,150246,37355,4600
20000,20000,19900,36 months,8.90%,635.07,A,SAS Programmer Analyst,5 years,RENT,96000,Verified,0,major_purchase,905xx,CA,0.99,0,5-Dec,0,,,4,0,3814,14.70%,6,f,0,0,1,INDIVIDUAL,0,0,0,0,0,25900,3814,15900
15000,15000,14900,36 months,11.99%,498.15,B,Account Manager,3 years,MORTGAGE,160000,Verified,0,credit_card,641xx,MO,9.19,0,Nov-96,4,70,,11,0,12744,49.80%,16,f,0,0,1,INDIVIDUAL,0,0,0,0,0,347762,83454,12100
23200,23200,23050,36 months,13.67%,789.21,B,Regional Sales Manager,1 year,MORTGAGE,92250,Verified,0,debt_consolidation,757xx,TX,18.6,0,Oct-91,0,,,12,0,16657,80.90%,31,f,0,0,1,INDIVIDUAL,0,0,0,0,0,245991,52882,17100
2500,2500,2500,36 months,19.52%,92.3,D,,n/a,RENT,9765,Source Verified,0,credit_card,532xx,WI,21.65,0,7-Dec,5,,,7,0,5092,59.90%,10,f,0,0,1,INDIVIDUAL,0,0,0,0,0,8500,5092,1300
9750,9750,9750,36 months,7.62%,303.83,A,,n/a,OWN,75000,Source Verified,0,credit_card,371xx,TN,18.91,0,Dec-93,1,51,,13,0,17585,30.50%,34,w,0,0,1,INDIVIDUAL,0,0,0,0,0,123570,73469,12000
4000,4000,3950,36 months,14.30%,137.3,C,Teacher,9 years,MORTGAGE,73000,Verified,0,debt_consolidation,601xx,IL,31.1,1,Jun-97,0,4,,11,0,6610,53.70%,32,f,0,0,1,INDIVIDUAL,0,0,5684,0,0,385145,48489,7100
10000,10000,10000,36 months,12.99%,336.9,B,Purchasing Assistant,< 1 year,RENT,45000,Source Verified,0,debt_consolidation,701xx,LA,8.49,0,Dec-95,0,32,,6,0,6278,67.50%,12,w,0,0,1,INDIVIDUAL,0,0,0,0,0,26673,15514,8300
10000,10000,10000,36 months,16.20%,352.56,C,Ramp Supervisor,10+ years,MORTGAGE,90000,Verified,0,debt_consolidation,605xx,IL,11.8,0,1-Jun,2,26,54,13,1,9510,72%,50,f,0,0,1,INDIVIDUAL,0,0,0,1,0,32614,23195,13200
17600,17600,17600,36 months,6.62%,540.39,A,Financial Specialist,< 1 year,RENT,50000,Not Verified,0,credit_card,600xx,IL,23.86,0,Dec-75,0,,,12,0,27236,17.10%,23,w,0,0,1,INDIVIDUAL,0,0,0,0,0,158430,58197,99000
24000,24000,24000,36 months,7.90%,750.97,A,,10+ years,MORTGAGE,80000,Source Verified,0,debt_consolidation,465xx,IN,13.55,0,Nov-74,0,,,18,0,37407,47%,29,w,0,0,1,INDIVIDUAL,0,0,0,0,0,151813,42556,77500
1800,1800,1800,36 months,21.70%,68.47,E,Team Leader,10+ years,RENT,45000,Not Verified,0,medical,554xx,MN,9.47,0,Jul-94,0,24,,3,0,944,49.70%,18,f,0,0,1,INDIVIDUAL,0,0,0,0,0,14174,12409,0
20000,20000,20000,36 months,10.99%,654.68,B,PRACTICE ADMINISTRATOR,10+ years,MORTGAGE,230000,Source Verified,0,debt_consolidation,212xx,MD,9.86,0,2-May,2,31,,15,0,19287,49%,22,f,0,0,1,INDIVIDUAL,0,0,0,0,0,451838,42207,16100
6000,6000,6000,36 months,13.67%,204.11,B,teacher,7 years,RENT,70000,Verified,0,debt_consolidation,190xx,PA,5.18,0,Jun-96,1,,64,9,1,5720,66.50%,39,w,0,0,1,INDIVIDUAL,0,0,0,1,0,41601,19762,6800
14000,14000,13950,36 months,6.62%,429.86,A,DIRECTOR OF OPS,6 years,RENT,95634,Not Verified,0,debt_consolidation,333xx,FL,16.68,0,Sep-95,1,,,7,0,168,1%,33,f,0,0,1,INDIVIDUAL,0,0,0,0,0,136980,105382,16100
6600,6600,6600,36 months,18.55%,240.44,D,CSR,3 years,RENT,30000,Not Verified,0,debt_consolidation,070xx,NJ,11.16,0,10-Jan,0,,,6,0,4541,87.30%,7,f,0,0,1,INDIVIDUAL,0,0,0,0,0,27366,25533,3700
8875,8875,8875,36 months,18.55%,323.31,D,whse a,10+ years,OWN,40000,Verified,0,debt_consolidation,378xx,TN,24.54,0,Dec-99,0,,60,8,1,4148,78.30%,35,f,0,0,1,INDIVIDUAL,0,0,0,1,0,35348,23387,2000
11500,11500,11500,36 months,9.67%,369.3,B,Sales Rep,10+ years,MORTGAGE,75000,Source Verified,0,debt_consolidation,358xx,AL,23.86,0,Jul-92,1,,,15,0,24996,55.90%,33,f,0,0,1,INDIVIDUAL,0,0,0,0,0,293392,107970,25200
7000,7000,7000,36 months,10.99%,229.14,B,Driver,3 years,RENT,35000,Not Verified,0,debt_consolidation,145xx,NY,12.04,0,Aug-98,0,,,4,0,5300,44.90%,23,w,0,0,1,INDIVIDUAL,0,0,0,0,0,30800,22795,11800
20000,20000,20000,36 months,12.99%,673.79,B,Driver,5 years,MORTGAGE,68000,Source Verified,0,debt_consolidation,132xx,NY,19.64,0,Jun-96,0,28,,11,0,20934,91%,26,f,0,0,1,INDIVIDUAL,0,0,0,0,0,154597,37432,11000
19000,19000,19000,36 months,8.90%,603.32,A,Operations Manager,10+ years,MORTGAGE,90000,Source Verified,0,debt_consolidation,011xx,MA,6.41,0,Oct-99,0,,,10,0,17514,42.80%,19,f,0,0,1,INDIVIDUAL,0,0,0,0,0,218483,17514,40900
28000,28000,28000,36 months,12.99%,943.3,B,Financial Program Administrator,5 years,RENT,114300,Verified,0,credit_card,170xx,PA,22.52,1,Jan-99,2,19,,17,0,20446,49.90%,43,f,0,0,1,INDIVIDUAL,0,0,0,0,0,113519,74635,9500
8000,8000,7975,36 months,13.67%,272.15,B,OfficeSpecialist,< 1 year,OWN,25000,Source Verified,0,debt_consolidation,978xx,OR,31.83,0,Dec-86,0,,100,9,1,10540,57.30%,18,f,0,0,1,INDIVIDUAL,0,0,0,1,0,39845,21993,13900
12000,12000,12000,36 months,11.99%,398.52,B,Electronic Technician,10+ years,MORTGAGE,60000,Not Verified,0,debt_consolidation,318xx,GA,21.12,1,Feb-98,0,9,,6,0,20077,87.30%,14,f,0,0,1,INDIVIDUAL,0,0,0,0,0,142347,40085,23000
25000,25000,25000,36 months,8.90%,793.84,A,Clinical Lab Scientist,7 years,RENT,110000,Verified,0,debt_consolidation,952xx,CA,19.01,0,4-Mar,0,,,11,0,16245,51.10%,31,w,0,0,1,INDIVIDUAL,0,0,0,0,0,77576,56193,28300
25000,25000,24950,36 months,15.10%,867.86,C,Educator,2 years,RENT,72000,Source Verified,0,credit_card,024xx,MA,16.48,0,Mar-96,1,,,12,0,26577,66.10%,19,f,0,0,1,INDIVIDUAL,0,0,0,0,0,67599,44082,27000
8000,8000,7950,36 months,13.67%,272.15,B,forklift driver,8 years,OWN,38000,Not Verified,0,credit_card,934xx,CA,22.3,0,Sep-00,0,,,6,0,12668,94.50%,12,f,0,0,1,INDIVIDUAL,0,0,0,0,0,39818,33983,7400
15000,15000,15000,36 months,9.67%,481.69,B,Engineering Administrative Assistant,10+ years,RENT,50000,Not Verified,0,credit_card,332xx,FL,12,0,Oct-98,1,,87,4,1,9598,93.20%,8,w,0,0,1,INDIVIDUAL,0,0,0,1,0,24549,11668,10300
19000,19000,19000,36 months,15.61%,664.34,C,Assistant Service Manager,4 years,MORTGAGE,95000,Verified,0,debt_consolidation,067xx,CT,23.14,0,2-Jun,1,36,,10,0,17157,93.20%,17,f,0,0,1,INDIVIDUAL,0,0,0,0,0,356705,59803,15600
10000,10000,10000,36 months,14.30%,343.24,C,Operations Manager,10+ years,MORTGAGE,120000,Source Verified,0,debt_consolidation,240xx,VA,24.64,0,Aug-97,4,56,,13,0,21893,75.20%,45,f,0,0,1,INDIVIDUAL,0,0,0,0,0,317521,85950,11600
20000,20000,20000,36 months,10.99%,654.68,B,engineer/inspector,10+ years,RENT,75000,Source Verified,0,debt_consolidation,113xx,NY,17.61,0,3-Apr,1,,,20,0,28372,42.80%,41,f,0,0,1,INDIVIDUAL,0,0,0,0,0,90982,32992,44400
5000,5000,5000,36 months,15.61%,174.83,C,customer service,10+ years,MORTGAGE,30000,Verified,1,debt_consolidation,441xx,OH,12.36,1,Oct-98,3,9,,9,0,3970,59.30%,22,f,0,0,1,INDIVIDUAL,0,0,0,0,0,135700,3970,3500
13000,13000,13000,36 months,14.30%,446.21,C,social worker,3 years,RENT,40000,Source Verified,0,credit_card,631xx,MO,23.16,0,Oct-00,0,,,8,0,20032,72.30%,19,w,0,0,1,INDIVIDUAL,0,0,0,0,0,47552,37297,25300
20000,20000,20000,36 months,7.90%,625.81,A,,n/a,MORTGAGE,68500,Source Verified,0,credit_card,062xx,CT,22.44,0,Sep-98,0,71,,12,0,16763,61%,22,f,0,0,1,INDIVIDUAL,0,0,0,0,0,216186,28970,19800
11200,11200,11200,36 months,7.90%,350.46,A,Outside Claims Representative,1 year,RENT,65000,Not Verified,0,credit_card,352xx,AL,6.15,0,5-Sep,0,,,4,0,4995,31.60%,8,f,0,0,1,INDIVIDUAL,0,0,0,0,0,21836,11031,12700
12000,12000,12000,36 months,7.90%,375.49,A,Internet Director,5 years,MORTGAGE,125000,Verified,0,credit_card,301xx,GA,18.35,1,Aug-99,1,13,,15,0,20505,51.90%,49,f,0,0,1,INDIVIDUAL,0,0,0,0,0,407987,43004,16000
12000,12000,12000,36 months,13.67%,408.22,B,Project Manager,6 years,MORTGAGE,69500,Verified,0,credit_card,360xx,AL,25.63,0,2-Apr,0,,70,15,1,8735,62.80%,44,w,0,0,1,INDIVIDUAL,0,0,0,1,0,185267,45113,7000
14000,14000,14000,36 months,10.99%,458.28,B,Quality,10+ years,MORTGAGE,55000,Not Verified,0,debt_consolidation,840xx,UT,12.4,0,Jun-99,0,28,,6,0,1589,21.20%,22,f,0,0,1,INDIVIDUAL,0,0,0,0,0,204005,10058,0
9250,9250,9250,36 months,13.67%,314.67,B,Regulated Services Coordinator,10+ years,RENT,35000,Source Verified,0,debt_consolidation,494xx,MI,19.44,6,Jan-98,0,9,,10,0,7290,71.50%,20,w,0,0,1,INDIVIDUAL,0,0,0,0,0,108465,11005,6000
18000,18000,18000,36 months,11.99%,597.78,B,accountant,6 years,MORTGAGE,75000,Source Verified,1,debt_consolidation,035xx,NH,24.82,0,Feb-98,0,,,14,0,9936,75.80%,40,w,0,0,1,INDIVIDUAL,0,0,0,0,0,228649,64150,6000
8000,8000,8000,36 months,13.67%,272.15,B,Counselor,4 years,MORTGAGE,74000,Source Verified,0,debt_consolidation,917xx,CA,6.49,0,Jun-00,0,60,58,9,2,5315,40%,29,f,0,0,1,INDIVIDUAL,0,0,0,1,1,184765,12193,5700
6000,6000,6000,36 months,14.30%,205.95,C,Regional HR Manager,7 years,RENT,72000,Verified,0,credit_card,980xx,WA,11.22,2,2-Jul,2,14,,8,0,5312,47.40%,23,f,0,0,1,INDIVIDUAL,0,0,0,0,0,31974,21916,3900
8000,8000,8000,36 months,13.67%,272.15,B,Accounting,10+ years,MORTGAGE,43000,Verified,0,debt_consolidation,350xx,AL,18.48,0,Sep-00,0,45,,8,0,15343,75.20%,24,f,0,0,1,INDIVIDUAL,0,0,0,0,0,267572,65997,11400
15350,15350,15300,36 months,10.99%,502.47,B,"Director, Corporate and Foundation Rel.",1 year,MORTGAGE,45000,Source Verified,0,debt_consolidation,286xx,NC,21.73,0,Nov-00,0,,,10,0,15925,37.20%,10,f,0,0,1,INDIVIDUAL,0,0,0,0,0,147500,32731,41300
8000,8000,8000,36 months,10.99%,261.88,B,,n/a,MORTGAGE,31000,Verified,0,debt_consolidation,141xx,NY,34.3,1,Jan-94,1,4,,10,0,6077,41.60%,26,w,0,0,1,INDIVIDUAL,0,0,0,0,0,114659,21926,10100
14000,14000,14000,36 months,12.99%,471.65,B,City Manager,10+ years,MORTGAGE,130000,Source Verified,0,debt_consolidation,974xx,OR,20.07,5,Nov-96,2,10,,16,0,7468,73.40%,62,f,0,0,1,INDIVIDUAL,0,0,0,0,0,289174,114728,5300
21000,21000,21000,36 months,9.67%,674.37,B,General Sales Manager,3 years,MORTGAGE,150000,Verified,0,debt_consolidation,281xx,NC,21.18,0,Apr-97,0,45,46,13,1,20330,89.60%,22,f,0,0,1,INDIVIDUAL,0,0,0,0,1,180910,87248,5200
15000,15000,15000,36 months,9.67%,481.69,B,Customer Service Manager,10+ years,OWN,48420,Not Verified,0,debt_consolidation,968xx,HI,18.81,0,Feb-96,0,,,14,0,20016,48.80%,21,f,0,0,1,INDIVIDUAL,0,0,0,0,0,41000,20016,26800
3200,3200,3200,36 months,21.70%,121.72,E,Administrative Assisitant,< 1 year,OWN,20000,Verified,0,debt_consolidation,370xx,TN,26,0,4-Oct,1,,,9,0,7523,66.60%,14,f,0,0,1,INDIVIDUAL,0,0,0,0,0,23667,16495,9900
9600,9600,9600,36 months,7.62%,299.15,A,SERGEANT,10+ years,RENT,90000,Not Verified,0,debt_consolidation,104xx,NY,4.73,4,Jan-94,0,13,,16,0,6366,21.90%,29,w,0,0,1,INDIVIDUAL,0,0,0,0,0,30750,7725,13900
20000,20000,20000,36 months,16.20%,705.12,C,Asst Case Manager,7 years,MORTGAGE,78000,Source Verified,0,home_improvement,331xx,FL,13.37,1,Apr-96,2,19,,6,0,8814,83.90%,28,f,0,0,1,INDIVIDUAL,0,0,0,0,0,278088,28930,6600
5000,5000,5000,36 months,6.03%,152.18,A,Conroller,6 years,MORTGAGE,49000,Source Verified,0,credit_card,658xx,MO,15.26,0,Oct-92,0,,,20,0,17089,10.50%,47,f,0,0,1,INDIVIDUAL,0,0,0,0,0,292477,27684,148700
7000,7000,7000,36 months,19.52%,258.44,D,Vaccine Operator,3 years,RENT,50000,Not Verified,0,other,109xx,NY,1.2,0,6-Jul,0,31,97,5,1,764,11.60%,10,f,0,0,1,INDIVIDUAL,0,0,0,1,0,6600,764,6400
12000,12000,12000,36 months,13.67%,408.22,B,ssa,3 years,RENT,35000,Verified,0,credit_card,950xx,CA,27.64,0,4-Feb,1,,,13,0,12236,59.10%,40,w,0,0,1,INDIVIDUAL,0,0,0,0,0,52766,40016,12400
28000,28000,28000,36 months,15.61%,979.02,C,Business Intelligence Analyst,6 years,MORTGAGE,95000,Verified,0,debt_consolidation,610xx,IL,31.83,0,Nov-90,3,50,,16,0,19904,76.80%,34,f,0,0,1,INDIVIDUAL,0,0,0,0,0,288802,65144,18000
15000,15000,15000,36 months,19.20%,551.36,D,Program Assistant Adm Services,10+ years,MORTGAGE,77000,Source Verified,0,debt_consolidation,080xx,NJ,8.01,1,3-Aug,0,23,,8,0,7548,82.90%,28,w,0,0,1,INDIVIDUAL,0,0,0,0,0,209955,15782,7300
6000,6000,6000,36 months,9.67%,192.68,B,Program Manager,10+ years,MORTGAGE,165200,Not Verified,0,credit_card,801xx,CO,14.09,0,May-99,0,34,,11,0,29776,63.80%,29,f,0,0,1,INDIVIDUAL,0,0,0,0,0,511128,79647,35000
12000,12000,12000,36 months,13.67%,408.22,B,TV Writer/Producer,10+ years,RENT,82000,Verified,0,debt_consolidation,802xx,CO,17.15,0,Mar-98,0,,,8,0,22406,97.40%,16,w,0,0,1,INDIVIDUAL,0,0,0,0,0,61857,53730,4500
35000,35000,35000,36 months,18.55%,1275.02,D,,n/a,MORTGAGE,153000,Verified,1,debt_consolidation,234xx,VA,22.66,0,Oct-88,1,,,20,0,64791,58%,52,w,0,0,1,INDIVIDUAL,0,0,0,0,0,590936,99800,46200
5600,5600,5600,36 months,9.67%,179.83,B,Route Manager,7 years,OWN,24000,Not Verified,0,car,330xx,FL,24.41,0,4-May,0,,,11,0,277,1.50%,19,f,0,0,1,INDIVIDUAL,0,0,0,0,0,42473,15608,6100
10000,10000,9950,36 months,19.20%,367.58,D,Manager,8 years,MORTGAGE,56860,Source Verified,0,debt_consolidation,299xx,SC,17.31,1,Nov-97,0,23,,8,0,8678,83.40%,12,f,0,0,1,INDIVIDUAL,0,0,0,0,0,218038,33035,10400
12800,12800,12800,36 months,15.61%,447.55,C,Iron Worker,10+ years,RENT,65000,Verified,0,car,112xx,NY,20.75,0,1-Mar,2,,,9,0,3164,21.40%,19,w,0,0,1,INDIVIDUAL,0,0,0,0,0,42900,24156,13700
4450,4450,4450,36 months,24.50%,175.76,F,clerical clerk,5 years,RENT,27000,Verified,1,debt_consolidation,117xx,NY,13.02,0,8-Aug,3,,,14,0,6657,42.70%,14,f,0,0,1,INDIVIDUAL,0,0,0,0,0,15600,6657,4400
24925,24925,24925,36 months,10.99%,815.9,B,,n/a,MORTGAGE,56000,Verified,0,debt_consolidation,347xx,FL,15.6,0,Feb-89,1,41,,10,0,2742,12.20%,39,w,0,0,1,INDIVIDUAL,0,0,0,0,0,275890,30121,11300
11500,11500,11500,36 months,10.99%,376.45,B,Sales Representative,< 1 year,RENT,45000,Not Verified,0,credit_card,295xx,SC,22.53,1,Jun-98,2,20,,21,0,13363,60.20%,40,f,0,0,1,INDIVIDUAL,0,0,0,0,0,102345,95025,15400
12000,12000,12000,36 months,9.67%,385.35,B,Claims adjuster,4 years,MORTGAGE,65000,Source Verified,0,debt_consolidation,282xx,NC,3.97,0,Jan-00,0,,,7,0,10696,38.10%,11,w,0,0,1,INDIVIDUAL,0,0,0,0,0,197300,10696,28100
4000,4000,3950,36 months,10.99%,130.94,B,Assambler and busser,10+ years,RENT,45000,Source Verified,1,debt_consolidation,331xx,FL,13.36,0,2-Jul,0,53,,9,0,3122,60%,24,f,0,0,1,INDIVIDUAL,0,0,0,0,0,21168,12266,3000
14600,14600,14600,36 months,15.10%,506.83,C,Teacher,6 years,MORTGAGE,80000,Source Verified,0,major_purchase,088xx,NJ,18.9,0,Jan-94,3,,,13,0,2828,23.20%,22,w,0,0,1,INDIVIDUAL,0,0,0,0,0,261295,50420,2500
15350,15350,15250,36 months,15.61%,536.71,C,Small Business Specialist,1 year,RENT,50000,Source Verified,0,debt_consolidation,112xx,NY,7.39,0,9-Nov,0,,,9,0,10892,48.40%,9,f,0,0,1,INDIVIDUAL,0,0,0,0,0,22500,10892,14000
8000,8000,8000,36 months,13.67%,272.15,B,Chef,8 years,MORTGAGE,45000,Not Verified,0,debt_consolidation,757xx,TX,20.61,0,5-Jul,1,,,8,0,10125,70.80%,18,w,0,0,1,INDIVIDUAL,0,0,0,0,0,25824,20266,13500
8000,8000,8000,36 months,6.00%,219.23,B,direct support professional,4 years,RENT,35000,Not Verified,0,major_purchase,176xx,PA,17.28,0,9-May,2,,,25,0,7356,33.40%,41,f,0,0,1,INDIVIDUAL,0,0,0,0,0,89887,72083,14000
10000,10000,10000,36 months,12.99%,336.9,B,Teacher,6 years,MORTGAGE,50000,Verified,0,debt_consolidation,972xx,OR,25.23,0,Jan-97,0,69,111,11,1,9215,80.80%,16,f,0,0,1,INDIVIDUAL,0,0,0,1,0,235656,59446,7400
6000,6000,6000,36 months,8.90%,190.52,A,,n/a,MORTGAGE,60000,Verified,0,credit_card,970xx,OR,6.64,0,3-Jan,1,41,,11,0,8691,37%,22,f,0,0,1,INDIVIDUAL,0,0,0,0,0,273500,8691,11100
18000,18000,17950,36 months,8.90%,571.56,A,District Manager,2 years,OWN,65000,Source Verified,0,debt_consolidation,775xx,TX,21.77,0,Jun-92,3,,,6,0,18076,85.70%,19,f,0,0,1,INDIVIDUAL,0,0,0,0,0,63429,32155,21100
12000,12000,12000,36 months,7.90%,375.49,A,RN,< 1 year,MORTGAGE,55000,Source Verified,0,debt_consolidation,316xx,GA,17.65,0,2-Apr,3,71,,8,0,5826,56%,30,w,0,0,1,INDIVIDUAL,0,0,0,0,0,189635,49199,10400
13600,13600,13575,36 months,7.62%,423.8,A,Senior Developer,1 year,RENT,84000,Verified,0,debt_consolidation,981xx,WA,13.62,0,6-Jun,0,,,13,0,13111,41.10%,31,f,0,0,1,INDIVIDUAL,0,0,0,0,0,78804,56431,31900
20000,20000,19950,36 months,10.99%,654.68,B,POLICE OFFICER,5 years,MORTGAGE,75000,Verified,0,credit_card,028xx,RI,6.62,1,Jul-97,1,15,,11,0,4790,43.20%,29,f,0,0,1,INDIVIDUAL,0,0,0,0,0,247551,11334,6800
8000,8000,8000,36 months,7.90%,250.33,A,Assessment Clerk,2 years,RENT,32000,Not Verified,0,credit_card,920xx,CA,29.07,8,Nov-88,1,7,,25,0,10706,33.90%,50,w,0,0,1,INDIVIDUAL,0,0,0,0,0,44556,14968,12500
17000,17000,17000,36 months,9.67%,545.92,B,Production Supevisor,10+ years,MORTGAGE,105000,Not Verified,0,debt_consolidation,740xx,OK,11.7,0,4-Jul,2,,,9,0,17440,68.10%,17,f,0,0,1,INDIVIDUAL,0,0,0,0,0,230856,42000,17500
9000,9000,9000,36 months,7.90%,281.62,A,Account Executive,5 years,OWN,45000,Not Verified,0,debt_consolidation,112xx,NY,27.47,0,4-Jul,0,,,20,0,11917,41.70%,31,w,0,0,1,INDIVIDUAL,0,0,0,0,0,97128,66271,21900
4325,4325,4325,36 months,8.90%,137.34,A,Income Maintenance Caseworker,7 years,OWN,27612,Source Verified,0,credit_card,283xx,NC,9.43,0,May-98,0,,112,6,1,7540,36.20%,13,f,0,0,1,INDIVIDUAL,0,0,0,1,0,20800,7540,18700
12000,12000,12000,36 months,6.62%,368.45,A,Patient Care,10+ years,MORTGAGE,60000,Source Verified,0,debt_consolidation,330xx,FL,18.88,0,2-Jul,0,,,7,0,15292,59.70%,16,f,0,0,1,INDIVIDUAL,0,0,0,0,0,365384,24483,19600
35000,35000,35000,36 months,15.10%,1215.01,C,Sr Ops Specialist,2 years,RENT,82000,Source Verified,1,debt_consolidation,030xx,NH,22.87,0,Nov-98,2,69,,18,0,29138,83.30%,52,f,0,0,1,INDIVIDUAL,0,0,0,0,0,266559,169513,34200
15000,15000,14925,36 months,8.90%,476.3,A,Sr. Infrastructure Engineer,1 year,RENT,150000,Not Verified,0,debt_consolidation,947xx,CA,5.25,0,5-Aug,0,,,5,0,12119,87.80%,9,f,0,0,1,INDIVIDUAL,0,0,0,0,0,42877,23288,13800
5000,5000,5000,36 months,9.67%,160.57,B,Loan Officer,1 year,RENT,24000,Not Verified,0,credit_card,959xx,CA,23.95,0,Oct-99,0,50,,5,0,3973,81.10%,25,f,0,0,1,INDIVIDUAL,0,0,0,0,0,27592,24519,4900
8000,8000,8000,36 months,7.62%,249.3,A,Head storekeeper,10+ years,RENT,70000,Not Verified,0,credit_card,940xx,CA,2.18,0,Jan-99,0,,97,5,1,6393,30.60%,12,w,0,0,1,INDIVIDUAL,0,0,0,1,0,20900,6393,19700
26375,26375,26375,36 months,21.70%,1003.19,E,finishing floorman,3 years,OWN,70000,Verified,1,small_business,492xx,MI,18.2,0,4-Dec,3,,11,17,1,13440,22.40%,35,f,0,0,1,INDIVIDUAL,0,0,0,0,1,154175,33604,29600
6700,6700,6675,36 months,9.67%,215.16,B,Service Dept,8 years,MORTGAGE,33000,Not Verified,0,credit_card,301xx,GA,13.27,0,3-Feb,0,,104,5,1,6277,52.70%,20,f,0,0,1,INDIVIDUAL,0,0,0,1,0,86229,18024,10400
10575,10575,10575,36 months,14.30%,362.98,C,PERSONAL BANKER,< 1 year,MORTGAGE,43500,Verified,0,debt_consolidation,346xx,FL,26.27,0,Jan-97,0,,,14,0,20371,60.80%,31,f,0,0,1,INDIVIDUAL,0,0,0,0,0,128925,29521,19600
30000,30000,30000,36 months,25.57%,1201.86,F,IT - HR Systems,2 years,MORTGAGE,118000,Source Verified,0,debt_consolidation,021xx,MA,9.33,1,Sep-96,3,23,,14,0,31696,50.90%,19,f,0,0,1,INDIVIDUAL,0,0,0,0,0,354859,31696,52800
30000,30000,30000,36 months,21.00%,1130.26,E,Sales,9 years,MORTGAGE,83000,Verified,0,credit_card,275xx,NC,11.23,0,2-Jan,2,32,,15,0,34718,76%,20,f,0,0,1,INDIVIDUAL,0,0,0,0,0,206517,34718,33300
10000,10000,10000,36 months,15.10%,347.15,C,,10+ years,MORTGAGE,50000,Source Verified,1,major_purchase,917xx,CA,15.94,0,Nov-90,2,27,,12,0,724,2.90%,26,f,0,0,1,INDIVIDUAL,0,0,0,0,0,66381,21890,23600
8000,8000,8000,36 months,10.99%,261.88,B,,n/a,MORTGAGE,60000,Source Verified,0,credit_card,329xx,FL,13.92,0,Jun-87,0,53,54,17,1,7385,39.70%,36,f,0,0,1,INDIVIDUAL,0,0,0,1,0,222305,20066,9800
6500,6500,6500,36 months,10.99%,212.78,B,Cashier,10+ years,RENT,52000,Not Verified,0,debt_consolidation,191xx,PA,22.29,0,Sep-87,0,39,,12,0,9723,55.20%,16,f,0,0,1,INDIVIDUAL,0,0,0,0,0,56044,35462,11900
14000,14000,13975,36 months,9.67%,449.58,B,Sales Engineer,2 years,RENT,120000,Source Verified,0,credit_card,088xx,NJ,18.11,0,7-Feb,1,,,11,0,18559,82.10%,25,f,0,0,1,INDIVIDUAL,0,0,0,0,0,81180,65880,21000
18000,18000,18000,36 months,22.40%,691.16,E,Principal,5 years,MORTGAGE,152000,Verified,0,other,945xx,CA,12.58,2,Apr-93,0,2,,14,0,27686,48.10%,31,f,0,0,1,INDIVIDUAL,1,0,104,0,0,767254,49090,48000
6000,6000,5975,36 months,8.90%,190.52,A,ASSET MANAGER,1 year,RENT,70000,Not Verified,0,debt_consolidation,926xx,CA,2.01,0,Jan-94,0,,,4,0,7113,28.90%,11,f,0,0,1,INDIVIDUAL,0,0,0,0,0,24600,7113,14000
10000,10000,9975,36 months,12.99%,336.9,B,Project Manager,< 1 year,MORTGAGE,75000,Verified,0,credit_card,941xx,CA,8.58,0,Feb-99,0,60,,8,0,10256,95%,29,f,0,0,1,INDIVIDUAL,0,0,0,0,0,233278,54551,10800
8000,8000,8000,36 months,18.55%,291.44,D,server,8 years,MORTGAGE,30000,Verified,0,debt_consolidation,554xx,MN,29.96,0,8-Feb,1,,,14,0,9862,42.70%,18,f,0,0,1,INDIVIDUAL,0,0,0,0,0,128411,24260,14900
32350,32350,32350,36 months,18.55%,1178.48,D,Inspector,< 1 year,MORTGAGE,72000,Verified,0,debt_consolidation,774xx,TX,13.22,1,Mar-99,4,2,102,11,1,5043,45.40%,15,f,0,0,1,INDIVIDUAL,0,0,0,1,0,151196,30792,7600
6075,6075,6075,36 months,21.00%,228.88,E,Dietary,6 years,RENT,34000,Not Verified,1,credit_card,331xx,FL,7.36,0,7-Apr,1,,,6,0,7504,55.60%,10,f,0,0,1,INDIVIDUAL,0,0,0,0,0,13500,7504,8000
15000,15000,14950,36 months,9.67%,481.69,B,Senior Operations Manager,10+ years,MORTGAGE,60000,Not Verified,1,debt_consolidation,462xx,IN,25.36,0,2-Oct,0,26,,13,0,10298,44.40%,25,f,0,0,1,INDIVIDUAL,0,0,0,0,0,173367,40726,9200
10000,10000,10000,36 months,8.90%,317.54,A,Admin Assistant,2 years,MORTGAGE,36000,Source Verified,0,debt_consolidation,853xx,AZ,11.43,0,Jul-91,0,48,,12,0,13993,29%,26,f,0,0,1,INDIVIDUAL,0,0,0,0,0,57800,21468,48300
